CaseID,CompleteTimestamp,Vessel,ActivityID,lifecycle:transition,event_id
21B17001E,2021-02-24 18:23:33.425,R501,Agitator start,complete,54
21B18001E,2021-02-24 18:31:27.198,R602,Pump adjustment,complete,49
21B18001E,2021-02-24 18:32:23.000,R602,Bottling,complete,50
21B17001E,2021-02-24 19:27:48.462,R501,Pump adjustment,complete,55
21B17001E,2021-02-24 19:27:59.026,R501,Pump start,complete,56
21B17001E,2021-02-24 19:30:32.699,R501,Pump adjustment,complete,57
21B17001E,2021-02-24 19:30:56.038,R501,Pump adjustment,complete,58
21B17001E,2021-02-24 19:32:05.647,R501,Pump adjustment,complete,59
21B17001E,2021-02-24 19:32:19.214,R501,Pump adjustment,complete,60
21B17001E,2021-02-24 19:35:22.371,R501,Pump adjustment,complete,61
21B12001E,2021-02-25 08:11:35.262,R502,Pump adjustment,complete,109
21B12001E,2021-02-25 09:08:47.000,R502,Postwash,complete,110
21B10001E,2021-02-25 11:23:33.000,R504,Bottling,complete,16
21B10001E,2021-02-25 11:44:45.000,R504,Postwash,start,17
21B21001E,2021-02-25 13:25:25.000,R601,Adjustment Charging,start,50
21B21001E,2021-02-25 13:46:50.000,R601,Adjustment Charging,complete,51
21B17001E,2021-02-25 17:10:31.480,R501,Agitator stop,complete,62
21B17001E,2021-02-25 17:10:37.000,R501,Agitation,complete,63
21B17001E,2021-02-26 07:11:46.000,R501,Bottling,start,64
21B17001E,2021-02-26 07:46:46.000,R501,Circulation,complete,65
21B23001E,2021-02-26 07:50:56.000,R602,Charging,start,0
21B23001E,2021-02-26 10:21:24.000,R602,Charging,complete,1
21B23001E,2021-02-26 10:23:45.646,R602,Agitator start,complete,2
21B23001E,2021-02-26 10:24:06.000,R602,Agitation,start,3
21B23001E,2021-02-26 11:24:49.606,R602,Pump adjustment,complete,4
21B23001E,2021-02-26 11:30:41.416,R602,Pump stop,complete,5
21B23001E,2021-02-26 11:36:34.505,R602,Pump adjustment,complete,6
21B23001E,2021-02-26 11:36:42.066,R602,Pump start,complete,7
21B23001E,2021-02-26 11:37:25.456,R602,Pump adjustment,complete,8
21B23001E,2021-02-26 11:37:46.076,R602,Pump adjustment,complete,9
21B23001E,2021-02-26 11:40:17.604,R602,Pump stop,complete,10
21B23001E,2021-02-26 11:42:37.257,R602,Pump adjustment,complete,11
21B23001E,2021-02-26 11:42:44.302,R602,Pump start,complete,12
21B23001E,2021-02-26 11:45:03.000,R602,Circulation,start,13
21B21001E,2021-02-26 13:18:15.974,R601,Pump adjustment,complete,52
21B21001E,2021-02-26 13:18:27.195,R601,Pump adjustment,complete,53
21B17001E,2021-02-26 14:53:38.853,R501,Pump stop,complete,66
21B17001E,2021-02-26 14:57:05.431,R501,Pump adjustment,complete,67
21B17001E,2021-02-26 15:04:19.000,R501,Bottling,complete,68
21B17001E,2021-02-26 15:09:28.982,R501,Pump stop,complete,69
21B17001E,2021-02-26 15:13:23.465,R501,Pump adjustment,complete,70
21B23001E,2021-02-26 15:22:12.479,R602,Agitator stop,complete,14
21B23001E,2021-02-26 15:31:24.373,R602,Pump stop,complete,15
21B10001E,2021-02-26 15:35:02.000,R504,Postwash,complete,18
21B17001E,2021-02-26 15:41:42.000,R501,Line Loss Collection,start,71
21B17001E,2021-02-26 16:01:57.360,R501,Pump stop,complete,72
21B17001E,2021-02-26 16:16:20.000,R501,Line Loss Collection,complete,73
21B21001E,2021-02-26 17:07:15.617,R601,Agitator stop,complete,54
21B21001E,2021-02-26 17:07:38.869,R601,Pump stop,complete,55
21B21001E,2021-02-26 17:28:46.000,R601,Adjustment Charging,start,56
21B21001E,2021-02-26 17:52:26.000,R601,Adjustment Charging,complete,57
21B21001E,2021-02-26 17:54:46.987,R601,Agitator start,complete,58
21B21001E,2021-02-26 18:55:28.169,R601,Pump adjustment,complete,59
21B21001E,2021-02-26 18:55:31.564,R601,Pump start,complete,60
21B21001E,2021-02-26 19:21:43.526,R601,Pump adjustment,complete,61
21B21001E,2021-02-26 19:36:36.358,R601,Pump adjustment,complete,62
21B23001E,2021-02-27 10:11:31.825,R602,Agitator start,complete,16
21B23001E,2021-02-27 11:15:51.794,R602,Pump adjustment,complete,17
21B23001E,2021-02-27 11:16:17.930,R602,Pump start,complete,18
21B24001E,2021-02-27 13:19:04.000,R501,Filters,start,0
21B24001E,2021-02-27 14:18:38.000,R501,Filters,complete,1
21B23001E,2021-02-27 15:05:50.625,R602,Agitator stop,complete,19
21B23001E,2021-02-27 15:06:08.000,R602,Agitation,complete,20
21B24001E,2021-02-27 15:15:48.000,R501,1Pass_Prewet,start,2
21B23001E,2021-02-27 21:57:17.965,R602,Pump stop,complete,21
21B23001E,2021-02-28 07:05:36.647,R602,Pump adjustment,complete,22
21B23001E,2021-02-28 07:05:52.126,R602,Pump start,complete,23
21B23001E,2021-02-28 07:13:15.492,R602,Pump adjustment,complete,24
21B23001E,2021-02-28 07:15:25.818,R602,Pump adjustment,complete,25
21B24001E,2021-02-28 09:20:21.000,R501,1Pass_Prewet,complete,3
21B24001E,2021-02-28 09:36:59.000,R501,Circulation Prewet,start,4
21B24001E,2021-02-28 10:02:00.283,R501,Pump adjustment,complete,5
21B24001E,2021-02-28 10:08:42.087,R501,Pump adjustment,complete,6
